county	date	positive
Hockley	20200306	0
Hood	20200306	0
Hopkins	20200306	0
Houston	20200306	0
Howard	20200306	0
Hudspeth	20200306	0
Hunt	20200306	0
Hutchinson	20200306	0
Irion	20200306	0
Jack	20200306	0
Jackson	20200306	0
Jasper	20200306	0
Jeff Davis	20200306	0
Jefferson	20200306	0
Jim Hogg	20200306	0
Jim Wells	20200306	0
Johnson	20200306	0
Jones	20200306	0
Karnes	20200306	0
Kaufman	20200306	0
Kendall	20200306	0
Kenedy	20200306	0
Kent	20200306	0
Kerr	20200306	0
Kimble	20200306	0
King	20200306	0
Kinney	20200306	0
Kleberg	20200306	0
Knox	20200306	0
Lamar	20200306	0
Lamb	20200306	0
Lampasas	20200306	0
La Salle	20200306	0
Lavaca	20200306	0
Lee	20200306	0
Leon	20200306	0
Liberty	20200306	0
Limestone	20200306	0
Lipscomb	20200306	0
Live Oak	20200306	0
Llano	20200306	0
Loving	20200306	0
Lubbock	20200306	0
Lynn	20200306	0
McCulloch	20200306	0
McLennan	20200306	0
McMullen	20200306	0
Madison	20200306	0
Marion	20200306	0
Martin	20200306	0
Mason	20200306	0
Matagorda	20200306	0
Maverick	20200306	0
Medina	20200306	0
Menard	20200306	0
Midland	20200306	0
Milam	20200306	0
Mills	20200306	0
Mitchell	20200306	0
Montague	20200306	0
Montgomery	20200306	0
Moore	20200306	0
Morris	20200306	0
Motley	20200306	0
Nacogdoches	20200306	0
Navarro	20200306	0
Newton	20200306	0
Nolan	20200306	0
Nueces	20200306	0
Ochiltree	20200306	0
Oldham	20200306	0
Orange	20200306	0
Palo Pinto	20200306	0
Panola	20200306	0
Parker	20200306	0
Parmer	20200306	0
Pecos	20200306	0
Polk	20200306	0
Potter	20200306	0
Presidio	20200306	0
Rains	20200306	0
Randall	20200306	0
Reagan	20200306	0
Real	20200306	0
Red River	20200306	0
Reeves	20200306	0
Refugio	20200306	0
Roberts	20200306	0
Robertson	20200306	0
Rockwall	20200306	0
Runnels	20200306	0
Rusk	20200306	0
Sabine	20200306	0
San Augustine	20200306	0
San Jacinto	20200306	0
San Patricio	20200306	0
San Saba	20200306	0
Schleicher	20200306	0
Scurry	20200306	0
Shackelford	20200306	0
Shelby	20200306	0
Sherman	20200306	0
Smith	20200306	0
Somervell	20200306	0
Starr	20200306	0
Stephens	20200306	0
Sterling	20200306	0
Stonewall	20200306	0
Sutton	20200306	0
Swisher	20200306	0
Tarrant	20200306	0
Taylor	20200306	0
Terrell	20200306	0
Terry	20200306	0
Throckmorton	20200306	0
Titus	20200306	0
Tom Green	20200306	0
Travis	20200306	0
Trinity	20200306	0
Tyler	20200306	0
Upshur	20200306	0
Upton	20200306	0
Uvalde	20200306	0
Val Verde	20200306	0
Van Zandt	20200306	0
Victoria	20200306	0
Walker	20200306	0
Waller	20200306	0
Ward	20200306	0
Washington	20200306	0
Webb	20200306	0
Wharton	20200306	0
Wheeler	20200306	0
Wichita	20200306	0
Wilbarger	20200306	0
Willacy	20200306	0
Williamson	20200306	0
Wilson	20200306	0
Winkler	20200306	0
Wise	20200306	0
Wood	20200306	0
Yoakum	20200306	0
Young	20200306	0
Zapata	20200306	0
Zavala	20200306	0
Anderson	20200309	0
Andrews	20200309	0
Angelina	20200309	0
Aransas	20200309	0
Archer	20200309	0
Armstrong	20200309	0
Atascosa	20200309	0
Austin	20200309	0
Bailey	20200309	0
Bandera	20200309	0
Bastrop	20200309	0
Baylor	20200309	0
Bee	20200309	0
Bell	20200309	0
Bexar	20200309	0
Blanco	20200309	0
Borden	20200309	0
Bosque	20200309	0
Bowie	20200309	0
Brazoria	20200309	0
Brazos	20200309	0
Brewster	20200309	0
Briscoe	20200309	0
Brooks	20200309	0
Brown	20200309	0
Burleson	20200309	0
Burnet	20200309	0
Caldwell	20200309	0
Calhoun	20200309	0
Callahan	20200309	0
Cameron	20200309	0
Camp	20200309	0
Carson	20200309	0
Cass	20200309	0
Castro	20200309	0
Chambers	20200309	0
Cherokee	20200309	0
Childress	20200309	0
Clay	20200309	0
Cochran	20200309	0
Coke	20200309	0
Coleman	20200309	0
Collin	20200309	1
Collingsworth	20200309	0
Colorado	20200309	0
Comal	20200309	0
Comanche	20200309	0
Concho	20200309	0
Cooke	20200309	0
